id,active,name,rounding,position,symbol
base_AED,False,AED,"0.01",after,د.إ
base_AFN,False,AFN,"0.01",after,Afs
base_ALL,False,ALL,"0.01",after,L
base_AMD,False,AMD,"0.01",after,դր.
base_ANG,False,ANG,"0.01",after,ƒ
base_AOA,False,AOA,"0.01",after,Kz
base_ARS,False,ARS,"0.01",after,$
base_AUD,False,AUD,"0.01",before,$
base_AWG,False,AWG,"0.01",after,Afl.
base_AZN,False,AZN,"0.01",after,m
base_BAM,False,BAM,"0.01",after,KM
base_BBD,False,BBD,"0.01",after,Bds$
base_BDT,False,BDT,"0.01",after,৳
base_BGN,False,BGN,"0.01",after,лв
base_BHD,False,BHD,"0.01",after,BD
base_BIF,False,BIF,"0.01",after,FBu
base_BMD,False,BMD,"0.01",after,BD$
base_BND,False,BND,"0.01",after,$
base_BOB,False,BOB,"0.01",after,Bs.
base_BRL,False,BRL,"0.01",before,R$
base_BSD,False,BSD,"0.01",after,B$
base_BTN,False,BTN,"0.01",after,Nu.
base_BWP,False,BWP,"0.01",after,P
base_BYR,False,BYR,"0.01",after,BR
base_BZD,False,BZD,"0.01",after,BZ$
base_CAD,False,CAD,"0.01",after,$
base_CDF,False,CDF,"0.01",after,Fr
base_CHF,False,CHF,"0.01",after,CHF
base_CLP,False,CLP,"0.01",after,$
base_CNY,False,CNY,"0.01",after,¥
base_COP,False,COP,"0.01",before,$
base_CRC,False,CRC,"0.01",after,¢
base_CUP,False,CUP,"0.01",after,$
base_CVE,False,CVE,"0.01",after,$
base_CYP,False,CYP,"0.01",after,£
base_CZK,False,CZK,"0.01",after,Kč
base_DJF,False,DJF,"0.01",after,Fdj
base_DKK,False,DKK,"0.01",before,kr
base_DOP,False,DOP,"0.01",after,RD$
base_DZD,False,DZD,"0.01",after,DZ
base_ECS,False,ECS,"0.01",after,S/.
base_EGP,False,EGP,"0.01",after,E£
base_ERN,False,ERN,"0.01",after,Nfk
base_ETB,False,ETB,"0.01",after,Br
base_EUR,True,EUR,"0.01",after,€
base_FJD,False,FJD,"0.01",after,FJ$
base_FKP,False,FKP,"0.01",after,£
base_GBP,False,GBP,"0.01",before,£
base_GEL,False,GEL,"0.01",after,ლ
base_GHS,False,GHS,"0.01",after,GH¢
base_GIP,False,GIP,"0.01",after,£
base_GMD,False,GMD,"0.01",after,D
base_GNF,False,GNF,"0.01",after,FG
base_GTQ,False,GTQ,"0.01",after,Q
base_GWP,False,GWP,"0.01",after,
base_GYD,False,GYD,"0.01",after,$
base_HKD,False,HKD,"0.01",after,$
base_HNL,False,HNL,"0.01",after,L
base_HRK,False,HRK,"0.01",after,kn
base_HTG,False,HTG,"0.01",after,G
base_HUF,False,HUF,"0.01",after,Ft
base_IDR,False,IDR,"0.01",after,Rp
base_ILS,False,ILS,"0.01",after,₪
base_INR,False,INR,"0.01",after,₹
base_IQD,False,IQD,"0.01",after, ع.د
base_IRR,False,IRR,"0.01",after,﷼
base_ISK,False,ISK,"0.01",after,kr
base_ITL,False,ITL,"0.01",after,₤
base_JMD,False,JMD,"0.01",after,$
base_JOD,False,JOD,"0.01",after, د.ا
base_JPY,False,JPY,"0.01",after,¥
base_KES,False,KES,"0.01",after,KSh
base_KGS,False,KGS,"0.01",after,лв
base_KHR,False,KHR,"0.01",after,៛
base_KMF,False,KMF,"0.01",after,CF
base_KPW,False,KPW,"0.01",after,₩
base_KRW,False,KRW,"0.01",after,₩
base_KWD,False,KWD,"0.01",after, د.ك
base_KYD,False,KYD,"0.01",after,$
base_KZT,False,KZT,"0.01",after,лв
base_LAK,False,LAK,"0.01",after,₭
base_LBP,False,LBP,"0.01",after,ل.ل
base_LKR,False,LKR,"0.01",after,Rs
base_LRD,False,LRD,"0.01",after,L$
base_LSL,False,LSL,"0.01",after,L
base_LTL,False,LTL,"0.01",after,Lt
base_LVL,False,LVL,"0.01",after,Ls
base_LYD,False,LYD,"0.01",after, ل.د
base_MAD,False,MAD,"0.01",after, د.م
base_MDL,False,MDL,"0.01",after,L
base_MGA,False,MGA,"0.01",after,Ar
base_MKD,False,MKD,"0.01",after,ден
base_MMK,False,MMK,"0.01",after,K
base_MNT,False,MNT,"0.01",after,₮
base_MOP,False,MOP,"0.01",after,MOP$
base_MRO,False,MRO,"0.01",after,UM
base_MUR,False,MUR,"0.01",after,Rs
base_MVR,False,MVR,"0.01",after,.ރ
base_MWK,False,MWK,"0.01",after,MK
